time	Vg	Id(=Ig)	Ig(=Id)
111.8864689	-0.800012	9.65113e-05	1.93211e-09
111.8718073	-0.800012	9.65819e-05	7.4029e-12
112.1133909	-0.800011	9.66425e-05	1.04311e-09
112.3498906	-0.80001	9.67056e-05	1.5726e-09
112.3444612	-0.800011	9.67369e-05	1.97331e-09
112.45076	-0.80001	9.67632e-05	1.91708e-09
112.5328305	-0.800011	9.67894e-05	2.14213e-09
112.670745	-0.800012	9.68162e-05	2.73069e-09
112.7981417	-0.80001	9.68493e-05	2.65061e-09
113.3348053	-0.80001	9.69245e-05	3.26507e-09
113.2260413	-0.80001	9.69512e-05	3.71749e-09
113.4734421	-0.800011	9.69887e-05	3.66672e-09
113.64259	-0.800011	9.7028e-05	4.15825e-09
113.809596	-0.80001	9.70611e-05	4.12076e-09
113.8635207	-0.800011	9.70863e-05	4.64016e-09
114.0496344	0.0999659	1.89585e-05	8.71925e-06
114.1932543	0.0999643	1.60569e-05	1.32697e-06
114.3336233	0.0999651	1.55813e-05	2.96629e-07
114.3967247	0.0999634	1.54822e-05	1.63039e-07
114.5264411	0.0999646	1.5422e-05	1.16134e-07
114.7772639	0.0999637	1.53627e-05	4.00043e-08
114.8552986	0.0999632	1.53427e-05	3.60377e-08
114.9938229	0.0999641	1.53237e-05	3.31038e-08
115.0661394	0.0999635	1.53126e-05	3.14775e-08
115.1925282	0.0999661	1.5303e-05	3.03237e-08
115.3570538	0.0999652	1.52927e-05	2.86276e-08
115.4605952	0.0999647	1.52858e-05	2.77532e-08
115.5865504	0.0999661	1.52807e-05	2.68916e-08
115.7335563	0.0999662	1.5275e-05	2.62752e-08
115.8417728	0.099969	1.52704e-05	2.55248e-08
116.0294837	0.0999685	1.52663e-05	2.51506e-08
116.1175576	0.099968	1.5263e-05	2.45535e-08
116.2591601	0.0999672	1.52591e-05	2.41833e-08
116.3807268	0.099966	1.52565e-05	2.40196e-08
116.4927448	0.099966	1.52529e-05	2.35291e-08
116.6337409	0.0999668	1.52504e-05	2.32685e-08
